"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*02oox*","Kevin De Bruyne","MCI","M","1","NT 5","32","@FUL Sat 4:30AM @TOT Tue12:00PM","717","20.49","100%","5.15","100%","+0.1%"
"*03srg*","Trent Alexander-Arnold","LIV","D","2","NT 7","25","@AVL Mon 12:00PM","534.5","14.07","100%","7.78","100%","0%"
"*03aqp*","Mohamed Salah","LIV","F","3","DGPFC","31","@AVL Mon 12:00PM","514","15.12","100%","2.85","100%","0%"
"*04qrc*","Raul Jimenez","FUL","F","4","W (Thu)","33","MCI Sat 4:30AM","480","12.63","64%","131.91","23%","-0.2%"
"*0427d*","James Tarkowski","EVE","D","5","DGPFC","31","SHU Sat 7:00AM","463","12.18","94%","94.48","99%","+0.2%"
"*037mo*","Willian","FUL","F","6","Pain","35","MCI Sat 4:30AM","462","12.83","85%","107.73","72%","-0.5%"
"*03u2b*","Adama Traore","FUL","F","7","W (Thu)","28","MCI Sat 4:30AM","462","12.49","1%","1100.27","2%","-0.1%"
"*02lkp*","Raheem Sterling","CHE","F","8","ColeFC","29","@NOT Sat 9:30AM @BHA Wed11:45AM","452","13.7","100%","57.73","83%","-3.2%"
"*02lm7*","Jack Grealish","MCI","M","9","ColeFC","28","@FUL Sat 4:30AM @TOT Tue12:00PM","449.5","12.49","100%","15","89%","+0.3%"
"*03dxq*","Danny Ings","WHU","F","10","W (Thu)","31","LUT Sat 7:00AM","440.5","11.59","25%","155.52","6%","0%"
"*04tm0*","Lucas Digne","AVL","D","11","DGPFC","30","LIV Mon 12:00PM","431.25","12.32","45%","140.46","79%","+1.6%"
"*03vlj*","Virgil van Dijk","LIV","D","12","BenM01","32","@AVL Mon 12:00PM","430.5","11.33","100%","43.76","100%","-0.3%"
"*03ybi*","Marcus Rashford","MUN","F","13","BudsNBec","26","ARS Sun 8:30AM NEW Wed12:00PM","427.5","13.79","100%","7.81","94%","-2%"
"*02m11*","Matt Doherty","WOL","D","14","W (Thu)","32","CRY Sat 7:00AM","425.25","11.81","68%","131.83","20%","-3.1%"
"*03gu5*","Andrew Robertson","LIV","D","15","ColeFC","30","@AVL Mon 12:00PM","423","11.75","100%","30.96","99%","+0.2%"
"*02oq8*","James Ward-Prowse","WHU","M","16","BudsNBec","29","LUT Sat 7:00AM","409","10.76","2%","291.77","85%","0%"
"*03v9d*","Son Heung-Min","TOT","F","17","NT 7","31","BUR Sat 7:00AM MCI Tue12:00PM","403","13.43","100%","11.69","100%","0%"
"*03gu4*","Harry Maguire","MUN","D","18","W (Thu)","31","ARS Sun 8:30AM NEW Wed12:00PM","398.25","10.48","27%","141.19","68%","+2.6%"
