"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*03v9d*","Son Heung-Min","TOT","F","1","NT 7","31","BUR Sat 7:00AM MCI Tue12:00PM","582","16.63","100%","11.69","100%","0%"
"*03aqp*","Mohamed Salah","LIV","F","2","DGPFC","31","@AVL Mon 12:00PM","572","16.34","100%","2.85","100%","0%"
"*03srg*","Trent Alexander-Arnold","LIV","D","3","NT 7","25","@AVL Mon 12:00PM","520.75","16.27","100%","7.78","100%","0%"
"*0570n*","Jo?o Cancelo","MCI","D","4","W (Thu)","29","@FUL Sat 4:30AM @TOT Tue12:00PM","505.75","14.05","60%","131.65","18%","0%"
"*02lol*","Harry Kane","TOT","F","5","W (Thu)","30","BUR Sat 7:00AM MCI Tue12:00PM","503","13.59","99%","18.95","18%","+0.1%"
"*02oox*","Kevin De Bruyne","MCI","M","6","NT 5","32","@FUL Sat 4:30AM @TOT Tue12:00PM","497","16.57","100%","5.15","100%","+0.1%"
"*046c5*","Jarrod Bowen","WHU","M","7","Pain","27","LUT Sat 7:00AM","451.5","12.54","100%","32.51","100%","+0.1%"
"*04y92*","Bukayo Saka","ARS","M","8","julian","22","@MUN Sun 8:30AM","443","11.66","100%","4.26","100%","0%"
"*05gcr*","Bruno Fernandes","MUN","M","9","ColeFC","29","ARS Sun 8:30AM NEW Wed12:00PM","428.5","11.9","100%","3.53","100%","0%"
"*02oq8*","James Ward-Prowse","WHU","M","10","BudsNBec","29","LUT Sat 7:00AM","425","11.81","2%","291.77","85%","0%"
"*0414o*","James Maddison","TOT","M","11","julian","27","BUR Sat 7:00AM MCI Tue12:00PM","404.5","11.56","100%","15.78","100%","-0.1%"
"*03gu5*","Andrew Robertson","LIV","D","12","ColeFC","30","@AVL Mon 12:00PM","390.25","13.46","100%","30.96","99%","+0.2%"
"*052cd*","Mason Mount","MUN","M","13","W (Thu)","25","ARS Sun 8:30AM NEW Wed12:00PM","390","12.19","100%","30.64","45%","-0.1%"
"*03v6w*","Ivan Toney","BRF","F","14","julian","28","@BOU Sat 7:00AM","388.5","11.77","62%","132.16","94%","+0.4%"
"*04fk6*","Bernardo Silva","MCI","M","15","NT 5","29","@FUL Sat 4:30AM @TOT Tue12:00PM","387","11.06","100%","58.48","100%","+0.1%"
"*03vlj*","Virgil van Dijk","LIV","D","16","BenM01","32","@AVL Mon 12:00PM","378.25","11.12","100%","43.76","100%","-0.3%"
"*04qr8*","Diogo Jota","LIV","F","18","DGPFC","27","@AVL Mon 12:00PM","378","10.8","100%","52.51","90%","-2.1%"
"*0435s*","Joel Matip","LIV","D","17","W (Thu)","32","@AVL Mon 12:00PM","378","12.19","3%","375.52","3%","0%"
"*03vll*","Michail Antonio","WHU","F","19","W (Thu)","34","LUT Sat 7:00AM","362.5","10.07","41%","144.13","46%","+2%"
"*02lkp*","Raheem Sterling","CHE","F","20","ColeFC","29","@NOT Sat 9:30AM @BHA Wed11:45AM","356","11.87","100%","57.73","83%","-3.2%"
"*05tz8*","Emmanuel Dennis","NOT","F","21","W (Thu)","26","CHE Sat 9:30AM","349","10.58","0%","1148.28","0%","0%"
"*051k8*","Conor Gallagher","CHE","M","22","DGPFC","24","@NOT Sat 9:30AM @BHA Wed11:45AM","347.5","10.22","59%","137.86","95%","0%"
"*051k0*","John McGinn","AVL","M","23","DGPFC","29","LIV Mon 12:00PM","344.5","9.84","64%","130.69","91%","0%"
"*04p0d*","Dwight McNeil","EVE","M","24","ColeFC","24","SHU Sat 7:00AM","336","8.84","96%","76.27","97%","+0.4%"
"*05r9b*","Martin Odegaard","ARS","M","25","DGPFC","25","@MUN Sun 8:30AM","335.5","9.32","100%","8.52","100%","0%"
"*0520r*","Leandro Trossard","ARS","M","26","BenM01","29","@MUN Sun 8:30AM","327","9.62","100%","57.04","96%","+0.1%"
